question,answer
What are the common neurologic symptoms associated with chronic lithium toxicity?,"Chronic lithium toxicity commonly causes neurologic symptoms, such as tremor and ataxia. Tremor is an involuntary shaking or trembling of the hands, arms, legs, or head, while ataxia refers to a lack of coordination of muscle movements, leading to unsteady gait and difficulty with balance. These neurologic symptoms can occur in patients who take lithium for a prolonged period and can be a sign of lithium toxicity, which can be life-threatening if left untreated. Other symptoms of lithium toxicity may include nausea, vomiting, diarrhea, confusion, and seizures. Patients who take lithium should be closely monitored for signs of toxicity, and their lithium levels should be regularly checked to ensure that they are within the therapeutic range."
"Q:A 16-year-old boy comes to the physician because of muscle weakness and cramps for 5 months. He becomes easily fatigued and has severe muscle pain and swelling after 15 minutes of playing basketball with his friends. The symptoms improve after a brief period of rest. After playing, he sometimes also has episodes of reddish-brown urine. There is no family history of serious illness. Serum creatine kinase concentration is 950 U/L. Urinalysis shows:
Blood 2+
Protein negative
Glucose negative
RBC negative
WBC 1–2/hpf
Which of the following is the most likely underlying cause of this patient's symptoms?""? 
{'A': 'CTG repeat in the DMPK gene', 'B': 'Low levels of triiodothyronine and thyroxine', 'C': 'Acid maltase deficiency', 'D': 'Medium-chain acyl-CoA dehydrogenase deficiency', 'E': 'Myophosphorylase deficiency'},",E: Myophosphorylase deficiency
"I have lower pain on my right side in my back after laying down for a period of time.. Yesterday I had a massage and when I laid on my back for 45 mins I couldn t get up and the pain was so bad it had me throwing up. I notice this when I wake up or try to turn in my sleep that my back locks and I can t move sometimes the pain is so intense I can t lift my leg to step over anything, although after going pee a few times the pain seems to disappear, until the next night.","Hello, I had gone through the case and found that there are many causes of lower back pain. You did not mention the age and duration of pain either acute or chronic. Causes of pain-Herniated discsciaticastrainspinal stenosisarthritisSo go for X-ray of whole spine and get the diagnosis and consult with orthopedic if any serious diagnosis found. If there is strain or sciatica then take rest and do leg exercise under supervision. Hope my answer will be effective for you. Thanks"
"My son had a depressed skull fracture 2 years ago, there were always 2 little bumps by his ears that were looked at earlier, now he is complaining it hurts behind his ear. these 2 bumps are now biggger and bulging out. Any ideas what this may be....... Part of his skull, or a calcum deposit?","Hi, dairy have gone through your question. I can understand your concern. You have bumps behind the ear. It can be due to sebaceous cyst or some other benign lesion or infectious cyst. You should go for examination and if required go for excision biopsy. It will give you exact idea. Hope I have answered your question. If you have any doubts then feel free to ask me. I will be happy to answer. Thanks for using Chat Doctor. Wish you a very good health."
What causes Herpangina?,Herpangina is typically caused by Coxsackie group A viruses.
"Can you provide an explanation and overview of fertility, please?","Fertility is the natural capability of giving life. As a measure, ""Fertility Rate"" is the number of children born per couple, person or population. This is different to fecundity, which is defined as the potential for reproduction (influenced by gamete production, fertilisation and carrying a pregnancy to term). In the English language, the term was originally applied only to females, but increasingly is applied to males as well, as common understanding of reproductive mechanisms increases and the importance of the male role is better known. Infertility is a deficient fertility.
Human fertility depends on factors of nutrition, sexual behavior, culture, instinct, endocrinology, timing, economics, way of life, and emotions. Animal fertility is no less complex, and may display astounding mechanisms."
What causes Warts?,"The typical wart is a raised round or oval growth on the skin with a rough surface. Compared with the surrounding normal skin, warts may appear light, dark, or black (rare). Most adults are familiar with the look of a typical wart and have little trouble recognizing it. Unusual warts with smooth surfaces or flat warts in children may be more difficult for parents to recognize. Common warts tend to cause no discomfort unless they are in areas of repeated friction or pressure. Plantar warts, for example, can become extremely painful. Large numbers of plantar warts on the foot may cause difficulty walking or running. Some warts will disappear without treatment, although it can sometimes take a couple of years. Treated or not, warts that go away often reappear. All warts can spread from one part of your own body to another. Unsightly or painful warts can be treated. Warts around and under your nails are much more difficult to cure than warts in other places."
"Hi, I had a reconstruction on my right knee in febuary last year, I recently noticed a hard lump at the incission point about the size of a 5-10 cent peice australian. Its sore to touch if I press around medially. Any ideas what this lump is? And how best to treat it?","Hi, Dear,Thanks for the query to Chat Doctor. I studied your query in depth. I feel concerned about it. In my opinion your hard lump at incision point is -keloid / and or /chronic cellulitis with abscess -at incision point of surgery done 1 yr back-as it hurts on touch. I would advise you to consult the knee surgeon who- would treat it with -antibiotics and NSAIDs with pus smear study-if its chronic cellulitis /and or/ with Injection escort in multiple sittings-if It's proved to be keloid by -USG/Excision biopsy. Hope you would recover fast with these health tips. Please contact again, and I would love to attend your queries promptly. Have a good time."
What is the term used to describe the rate at which blood is returned to the atria?,The rate at which blood is returned to the atria is called the venous return.
"Hi doctor, My father was hospitalised last month(29th April 2014) due to increase in is uric acid it was 13.9 mg/dL & creatine was 2.1 mg/dL. At the time of discharge after 10 days uric acid was 11.9 mg/dL & creatine 2.6 mg/dL. On 24th may 2014 we have carried out test of uric acid whicChatDoctore down to 7.2mg/dL & creatine was 2.6 mg/dL. Kidney size are normal. But left side kidney having shrink little bit. My query is that whether my father is having any problem with his kidneys.","Hello and welcome to Chat Doctor. As a Urologist, I must advise you to send me the reports, for a detailed view of the urine, blood and scan reports.  By reading your question, I must opine, that all reports are surely suggestive of a kidney problem, with less function. Uric acid, can also go up Creatinine is an indicator of kidney function. When kidney function decreases, the creatinine will go up accordingly, and vice versa. If kidneys are affected, the size on a scan will also show decrease. You can send the reports for an expert opinion, to me. Chat Doctor.  Manga."
I am 49 year old female in very good health. Have not had a bladder infection in 15 years. I have pulsing in my bladder with pressure and frequent urination.this has been going on for over 30 days. I do not have an infection it has been tested by Dr. I have taken lots of herbs and high doses of tumeric. What can I do?,"Hello, Welcome to Chat Doctor, The Presence of bacteria in the urine may lead to bladder infection and other forms of urinary tract infection. Escherichia coli is the most common organism responsible for bladder infection. The most common way bacteria gain access to the urinary system from outside is through the urethra. The most common symptoms of bladder infection are burning sensation when urinating, Frequent urge to urinate, Passing only small amounts of urine at a time despite the urge to urinate and cloudy Urine. Bladder infection is diagnosed by an urinalysis and the presence of white blood cells in urinalysis indicates bladder infection. Simple bladder infections in women can be treated with a three-day course of an antibiotic like Co-trimoxazole. The choice of antibiotic, the strength of the medication and the length of treatment vary depending on the circumstances and antibiotics need to be taken for 10 days or more. Thank you."
"skin near thigh gets red and rashes and i get itching with burning sensation i have almost used all type of cream i.e.Imidil,sufaz sn.qurdiderm,flucort, candid etc but no result also I have used  fluconzole tablet 150gm  per week for many days please suggest medicine........  my email is  YYYY@YYYY","Hello, Thank you for posting on Chat Doctor. It seems you are suffering from Tina courts and corporal, a kind of fungal infection. I would suggest you to consult your dermatologist for proper management of the condition. I usually recommend proper course of oral antifungal Chat Doctor.  You can additionally use antifungal dusting powder containing ketoconazole during daytime and a soap containing ketoconazole for rinsing of affected areas. Take oral antihistamines for itching as required. Maintain hygiene over those areas and avoid wearing tight undergarments. Hope your queries are resolved and wish you best of health. Kindly spare some time to rate my answer and"
How does thyrotoxicosis affect catecholamine sensitivity?,"Thyrotoxicosis has an increased effect on catecholamine sensitivity. Catecholamines are hormones such as adrenaline and noradrenaline that are involved in the body's ""fight or flight"" response. Thyrotoxicosis is a condition in which there is an excess of thyroid hormones in the body, leading to a hypermetabolic state. This hypermetabolic state can increase the sensitivity of tissues to catecholamines, which can lead to symptoms such as palpitations, tremors, and anxiety. In addition, thyrotoxicosis can also lead to an increase in the production of catecholamines, further exacerbating the effects of catecholamine sensitivity. Treatment of thyrotoxicosis typically involves medications to reduce the production of thyroid hormones or surgery to remove the thyroid gland."
How does childhood insulin resistance affect the levels of free sex steroids in the body?,"Childhood insulin resistance may lead to a decrease in sex hormone binding globulin, which is a protein that binds to sex hormones in the blood. As a result, there may be increased levels of free sex steroids in the body. This can have a number of effects on the body, including an increased risk of developing conditions such as polycystic ovary syndrome (PCOS), which is characterized by high levels of androgens (male sex hormones) in women. It is important to manage insulin resistance through lifestyle changes, such as a healthy diet and regular exercise, in order to reduce the risk of developing these types of conditions."
"I am 39yrs old, I had hepatitis B and my spouse had unprotected sex with me once without taking a vaccine, will he be infected,how soon will it show in his laboratory test?  even when he has started taking the vaccine Like two weeks after the intercouse","Hello dear, Thank you for your contact to Chat Doctor. I read and understand your concern. I am Chat Doctor answering your concern. Yes, there is definitely chance of the hepatitis infection. Hepatitis B can transfer more often than the HIV in this manner. So precaution should be taken accordingly. No vaccine don't work immediately it requires some time to act on the immune system to develop the antibodies. In the meantime immunoglobulin of hepatitis B can be helpful. After some times' vaccine of hepatitis B can work. Hepatitis B can be diagnosed by the rapid tests after a month. But early diagnosis can be confirmed by the PCR assay. Please take the precaution so that further transmission to the other patient can be prevented. I will be happy to answer your further concern on bit.ly/ Chat Doctor. Thank you, ChatDoctorInfectious diseases specialist, ChatDoctor."
"I have a stabbing pain under the lower part of my ribcage on my right side. It is somewhat intermittent and I find that a warm bath gives some relief, but it comes back after a short time. I have also been experiencing tightness and some pain in the middle and lower part of my back, sometimes extending down my right buttock. The back pain came first about 2 weeks ago. The stabbing pain began on Wednesday, 5 days ago, stopped on Friday and returned on Saturday.","Hello and Welcome to Chat Doctor, Thanks for writing to us. The pains that you have described are likely to be due to a muscular pain. Taking mild painkillers and muscle relaxants will bring a short term relief. Regular exercise will be helpful. Get evaluated by your doctor if it becomes persistent. Meanwhile, you can do a hot fomentation and apply a local analgesic gel on the area to relieve the spasm. Hope this helps you. Wishing you good health... Regards.  Chat Doctor. Orthopedic Surgeon."
"Hello,I was fitted for a dental night guard due to bruxism. I have had it re-fitted several times. Since wearing it, there are times where I lock onto the occlusion and am unable to open my mouth in the morning. One dentist told me to stop wearing it as it could damage my jaw, another told me to continue wearing it. It happens about one in every four times i wear it. I have never had a muscle spasm when not using. I almost think unconsciously I am biting harder as I wake up very aware of the clenching and do not notice this when not wearing the nightguard.  Please advise, and thank you kindly for your time!Shanti Z","Thanks for your query, I have gone through your query. The limited mouth opening and pain could be because of the bruise and use of the splints leading to disc displacement in the Temporomandibular joint. If the splints are designed properly and if the thickness is too much and if it is hard splint. Consult an oral physician and get it diagnosed. You can stop using the splints for few days. You can take anti-inflammatory Chat Doctor.  Furthermore, you can also take muscle relaxants like chlorzoxazone. Furthermore, you can give hot fomentation over the joints. Do not eat hard things, do not open your mouth too wide. Take soft diet. I hope my answer will help you, take care."
I had sex with my girl friend while her periods...i.e on 5th day.....does she can become pregnant .....If so also....tell me natural way...How to abort it........,"Hi, thanks for query.  Sex during period can cause pregnancy reasons are- 1)sperm can survive for up to 5\u00a0days in vagina and if ovulation occur early as 10th day chances of pregnancy there.  2)if it is not a period, but it is ovulation bleeding chances of pregnancy is there.  3)if her period is irregular time of ovulation not fixed, chances of pregnancy is there.  4)delayed period and early ovulation can cause pregnancy.  5)take emergency contraceptive as early as 72hrs.  6)always use condom.  don't worry, if period not come consult gone.  GOOD LUCK."
To which area does the ventral posteromedial (VPM) nucleus of the thalamus project?,The ventral posteromedial (VPM) nucleus of the thalamus projects to the primary somatosensory cortex.
"Q:A 32-year-old woman comes to the physician for a screening health examination that is required for scuba diving certification. The physician asks her to perform a breathing technique: following deep inspiration, she is instructed to forcefully exhale against a closed airway and contract her abdominal muscles while different cardiovascular parameters are evaluated. Which of the following effects is most likely after 10 seconds in this position?? 
{'A': 'Increased venous return to left atrium', 'B': 'Decreased systemic vascular resistance', 'C': 'Decreased left ventricular stroke volume', 'D': 'Decreased intra-abdominal pressure', 'E': 'Decreased pulse rate'},",C: Decreased left ventricular stroke volume
"I feel angry most of the time.  Maybe disconnected.  My stomach feels quite sick when Im cross or angry.  I dont understand, the little things really upset me.  I feel lost and that nobody around me supports me.  My fiance says Im highly strung, I dont feel he listens to me and this frustrates me more.  I dont feel heard and I cant release these feelings.  What do or can I  do??","Degree understand your concerns went through your description. From the given symptoms, I can clearly see low self-confidence and low self-esteem. You should know the reason. Are you expecting more? Are you expecting more than what is your worth? If you are average and expecting to score 90%, may disappoint you. Trying to do a job which you do not like at all can also disappoint you. These disappointments together irritate you and you automatically become short-tempered. Please understand you and your abilities. Act accordingly. Do not underestimate you. Do not try to see problems within you. Disappointment in life do create these symptoms and these are momentary. You should be able to overcome these within a month. If you want more of my services, please post a direct query to me in this website. Hope this answers your query. Available for further clarifications. Good luck."
I had unprotected sex so the day after i took a yasmin contraceptive pills. Im on the last 4 tablets now. I think to stop taking it cause my urinary track infection become active since i started taking the pills.i also had a sore between my anus and vigina and its realy give me hard time. i dont do any sexual intercourse after for almost 3 weeks now. Is there any possibility to get pregnant if i stop taking the pills.,"Hello, If you have been abstaining for so long, the question of conception does not arise. Once you stop the pills, you are no longer protected, and you need some other form of contraception before you plan further intercourse. For the time being, please get your sore and urinary infection treated by a specialist. Please abstain until you are totally cured. If you had the intercourse while on the last four tablets, then you need not worry at all as you are safe. Hope you find this information useful. Wish you good health."
sir i m having a bulge in my right cheek for the first time...yesterday everything was fine but today when i woke up i found my skin bulged...i m 20 years of age...my height is 169 cm and i weigh 95 kg...sir pls help me...what it could be...or is it a serious bulge...,"Hi, dairy have gone through your question. I can understand your concern. You may have some infection in parotid gland. It is the most common cause of cheek bulge. You should consult your doctor and go for examination. Then you should take a course of antibiotics. If it does not respond to treatment then further investigations are required. Consult your doctor and take treatment accordingly. Hope I have answered your question, if you have any doubts then contact me at bit.ly/ Chat Doctor. Thanks for using Chat Doctor. Wish you a very good health."
"What is the management approach for swallowing a battery, magnet, or sharp item?","Swallowing a battery, magnet, or sharp item is managed with endoscopic removal."
"My sister has been very ill for over 5 months now. She had a baby on January 28th this year. And after maybe one month later, she started getting sick. She s had so many symptoms that it s been hard to diagnose. She said it all started after she drank some coffee/cappuccino from Bad Ass Coffee in Albuquerque that was sitting in her car all day. She started by having constant headaches and a pulling sensation in her head and mouth. She started having trouble sleeping. She keeps taking sleeping pills, not only to sleep. But also to try blocking out her pain. Her family has told her not to take sleeping pills. But she won t listen. She s been very weak, and says that she feels like her body is turning into stone. She can t even tell when she s hungry, or when she has to go to the bathroom. She s also been losing weight from not eating much. She s also been having a burning feeling in her stomach, and says it feels like her stomach is being squeezed. She keeps sending me text messages saying she s dying, and telling everyone she loves them. Her husband and 2 older kids (8 and 15) are at their wits end. She s been to several doctors, had multiple blood work and MRI s, and everything keeps turning out negative. Nothing is showing any problems. I can t remember if she s had a CT scan? What can POSSIBLY be wrong? She s scared to death, and she s been an emotional wreck. A recent doctor gave her some sort of antacids etc., but apparently they haven t helped. There s definitely some sort of neurological problem as well, because she always gets twitches and jerking all over her. She s always saying that it feels like something is pulling her down. Our whole family is at a loss for ideas, and we re all very worried. It s nearing 6 months now. It don t look like our family will be celebrating the holiday season this year.","Hello ! I read your question and understand your concern. In my opinion the symptoms you describe may be related to postpartum depression. It is a very common disorder affecting women after delivery. The repeated analysis and MRI are another argument in favor of this diagnosis. This is not a neurological problem, but a psychiatric one. I would recommend you to bring her to a psychiatrist, to examine here and to choose the best antidepressant for her. I am sure she will get better after starting an antidepressant. She has anxiety too, and here twitches in the body and the gastric pain are related to that. An antidepressant in effective against anxiety too. Hope to have been helpful! Best wishes,"
"Will eating lots of pound cake and angel food cake with crushed strawberries sweeten with stevia and sugar and being medicated with Ativan ,rednisone, and Lipitor and three glasses of wine while preparing and eating dinner raise my alt and triglyceride .?","For sure not just a lot, but even little of all what you prepared will increase your triglycerides because it contains simple sugars and fats (cream) which is easily absorbed.  Lastly the reason why your ALT went up might be Lipitor and the wine (if taken on Daily basis).  Now according to guidelines if your alt is substantially high you would need to decrease the Lipitor dose for time being till it resolves.  Regards Chat Doctor."
"Q:A 57-year-old woman is admitted to the intensive care unit for management of shock. Her pulse is feeble and blood pressure is 86/45 mm Hg. The patient undergoes pulmonary artery catheterization which shows an elevated pulmonary capillary wedge pressure and increased systemic vascular resistance. Which of the following additional findings is most likely in this patient?? 
{'A': 'Cold skin due to loss of intravascular fluid volume', 'B': 'Bradycardia due to neurologic dysfunction', 'C': 'Bronchospasm due to excessive histamine release', 'D': 'Mottled skin due to release of endotoxins', 'E': 'Confusion due to decreased stroke volume'},",E: Confusion due to decreased stroke volume
Which class of drugs can impede the effects of loop diuretics?,"The class of drugs that may inhibit the actions of loop diuretics is NSAIDs, due to their ability to decrease prostaglandin synthesis."
"Q:A 29-year-old woman comes to the physician because of a 2-day history of intermittent dark urine and mild flank pain. She has also had a cough, sore throat, and runny nose for the past 5 days. She has not had dysuria. She takes no medications. She has no known allergies. Her temperature is 37°C (98.6°F). Examination of the back shows no costovertebral angle tenderness. Laboratory studies show:
Hemoglobin 10.4 g/dL
Leukocyte count 8,000/mm3
Platelet count 200,000/mm3
Serum
Na+ 135 mEq/L
K+ 4.9 mEq/L
Cl- 101 mEq/L
HCO3- 22 mEq/L
Urea nitrogen 18 mg/dL
Creatinine 1.1 mg/dL
Urine
Color yellow
Blood 3+
Protein 1+
Leukocyte esterase negative
An ultrasound of the kidney and bladder shows no abnormalities. Which of the following is the most likely cause of this patient's symptoms?""? 
{'A': 'Interstitial renal inflammation', 'B': 'Renal papillary necrosis', 'C': 'Renal glomerular damage', 'D': 'Ischemic tubular injury', 'E': 'Urothelial neoplasia'},",C: Renal glomerular damage
"My daughter (11 years old) suddenly started screaming in pain saying her head hurts. She said it doesn t hurt like a head ache or migraine, which she gets occasionally. She says it is at the front of her head, about 2 inches in diameter in the middle of her forehead. She is screaming at the top of her lungs.","Hi... Thank you for consulting in Chat Doctor. Headache in kids need to be considered serious only when the below symptoms are there - 1. Vomiting continuously2. Seizures/ Fits3. Watery of bloody discharge from ears and nose4. Unconsciousness5. Altered sensorial or behavior. Without the above red flag symptoms, just feeling low energy levels points out towards Migraine and other sorts of tension headaches which are on the rise in current scenario due to excessive academic and peer stress the kids are experiencing. I have a few questions for you -1. How long has the headache been there?2. Does it always occur on forehead or keeps changing?3. Is it associated with blurring of eyes or double vision or giddiness?4. Is there any family history of migraine or single side headache?5. Is he very angry when he gets headache and does the ache get better after a good sleep?6. Does he vomit when there is headache? Kindly get back to me with the answers to above questions and also mention his weight so that I can suggest you the formulations which are good. But as of now - you can give oral Paracetamol in the dose of 15\u00a0mg/kg/dose(max ceiling dose 500\u00a0mg) every 4-6th hourly. Hope my answer was helpful for you.  I am happy to help any time. Further clarifications and consultations on Chat Doctor are welcome. If you do not have any clarifications, you can close the discussion and rate the answer. Wish your kid good health."
"I had a cold about 2 months ago and was left with a cough. It got better then worse again after a few weeks. Now, after 8 weeks I am still coughing, even after 2 rounds of antibiotics. My cough is worse when I talk, sing or eat, but goes away if I am quiet or asleep.","Hello, you haunt mentioned some important things in your history. How old are you?what are the other symptoms except redness? Does it itch, painful, tender and oozing?do you have fever? Do you have a purulent urethral discharge? Have you had sexual intercourse recently? How long have you been treated for this? If you are having any of the bacterial or yeast infections you would have itching, sometimes pain and tenderness. Depending on the severity of the infection not only topical antibiotics and antifungals you may have to take oral antibiotics or antifungals also. So make sure with your doctor whether you are given Chat Doctor.  Also make sure your sexual partner is also treated for the infection. Otherwise you would get reinfection.  Allergies or eczema of the penis usually cause itching. So change you soap to a pH treated perfumed soap. If you are using condoms latex allergy also has to be considered.  If you are having red penile head only with milder other symptoms I'm thinking of psoriasis also. For that steroidal topical cream is better.  Last a not the least penile cancer also has to be excluded. If you could come up with other associated symptoms it is easier to come to a diagnosis. Thank you."
"Q:A 15-year-old girl is brought to the physician by her mother for an annual well-child examination. Her mother complains that the patient has a poor diet and spends most of the evening at home texting her friends instead of doing homework. She has been caught smoking cigarettes in the school bathroom several times and appears indifferent to the dean's threats of suspension. Two weeks ago, the patient allowed a friend to pierce her ears with unsterilized safety pins. The mother appeals to the physician to lecture the patient about her behavior and “set her straight.” The patient appears aloof and does not make eye contact. Her grooming is poor. Upon questioning the daughter about her mood, the mother responds “She acts like a rebel. I can't wait until puberty is over.” Which of the following is the most appropriate response?? 
{'A': '""""""I am very concerned that your daughter is displaying signs of depression, and I\'d suggest that she is seen by a psychiatrist.""""""', 'B': '""""""Let\'s run a routine urine toxicology screen to make sure your daughter is not doing drugs.""""""', 'C': '""""""Would it be possible for you to step out for a few moments so that I can interview your daughter alone?""""""', 'D': '""""""You should listen to your mother\'s concerns. You don\'t want to make poor choices early on or else you might end up on the streets.""""""', 'E': '""""""Your daughter displays normal signs of puberty. Being overly critical of your daughter is not helpful.""""""'},","C: """"""Would it be possible for you to step out for a few moments so that I can interview your daughter alone?"""""""
my mom got breast tumor & after medical testing she got cancer on her breast. According to doctor advice we removed her right breast and again we tested the tumor the result was same. after breast operation we went to cancer specialist & he advised us to give her camo. in this cercomstances what we should do & hou will u help me. I m from chittagong bangladesh.,"Breast cancer is considered a systemic disease i.e. apart from the cancer in the breast, microscopic cells are considered to be in circulation in the body that may deposit and form a tumor sides elsewhere in body (metastasis). So breast cancer is treated with multimodality therapy including surgery, chemotherapy, hormone therapy, radiation therapy and/or biological therapy. Any primary breast cancer that is more than cm in size needs systemic therapy which is usually chemotherapy. Your oncologist will order estrogen receptor ER, progesterone receptor PR and Her2 new receptor status on the histopathology specimen of the removed breast cancer. If ER and/or PR status is positive then chemotherapy will be followed by hormone therapy as well and if Her2 new receptor status is positive then a year of biological therapy with trastuzumab will also be given after chemotherapy. Radiation therapy is given after considering certain features in histopathology report. I hope your query has been answered. If you have any further questions I will be happy to answer. Thank you for choosing Chat Doctor."
"1 month ago, I had a sharp pain in my upper left arm, which lasted for 4 days. Today again I m feeling some pain in my left upper arm with some back pain towards the left side and also between the blades of my shoulder. I usually have some pain on the left side of my chest or in the center of my chest. From the last 3-4 days I am having nose bleeding too ( not that regular way where bleeding is continuous, but whenever I blow my nose, blood clots come from there. This happens mostly in the morning when I wake up)... I don t know what to do.","Thanks for your question on Chat Doctor. I can understand your concern. Chest pain are commonly seen in cardiac cause and lung infection. Get a chest x-ray and ECG done. If your chest x-ray is normal, no need to worry about lung infection. Possibility that you might be having hypertension as well as it may cause nose bleeds. So kindly consult a doctor for the same. Hope I have solved your query. Wish you good health. Thanks."
"My Mum had a hernia repair ten days ago.  Two days ago she developed a fever and abdominal pain.  She was admitted into the hospital, had a cat scan and an abscess was discovered.  A drain was also put in.  Today she was told that a sample of her drain discharge has bacteria in it that  should only be in the intestines.  She was told she might have to have the netting removed.  Does this sound right.  She is 65, diabetic, high blood pressure, high cholesterol and bi-polar","Hi. Thanks for your question and understanding of the problem. Since your Mother is diabetic, the mesh should be removed immediately as the mesh is going to act as a foreign body and the infection will not respond to any antibiotic till the mesh is removed. Rest everything sounds right ; of course except for the infection. Request the Doctor to remove the mesh at the earliest. Let your Mother be in the hospital till she is completely recovered. She will need a very careful control of diabetes and high blood pressure. Follow the advice strictly, Your Mother will be fine soon."
"I am a 68 year old woman and had all my teeth extracted 17 days ago and had 8 implants with immediated dentures. I was told not to remove the dentures and, as a result of wearing them even in great pain, I have a large ulcer on my top gum which is bright red around the edge (about a half inch in diameter) which shows no sign of healing.  How long before it heals enough to continue wearing the relined denture?","Thanks for your query, I have gone through your query. The ulcer could be because of the trauma caused by the denture. Do not use the denture till the ulcer heals. It might take 5-7days for the ulcer to heal. You can apply topical anesthetic and analgesic like Anabel gel. If the ulcer does not heal in 10\u00a0days, consult an oral physician or planetologist to rule out the cause of ulceration. I hope my answer will help you, take care."
"I am trying to find info on plaquenil . I have bad stomach problems, acid reflux , no ibufrofin had colon resection surgery and have a stomach hernia. My stomach is easily upset to watch what I eat. I don ;t think this is a good med for me but my rheumatologist thinks it is the best . It takes 3-6 onths to work. How do I deal with the side effects and how long does it take for them to go away. Will acupuncture be an alternative solution?","Dear, Welcome to Chat Doctor Every medicinal system has its specialty. Same as I think Ayurveda can ad Chat Doctor.  You mentioned you had already colon resection. You had hernia of stomach probably hiatus hernia which cause high bile reflux. No proton pump inhibitors can resolve it. Ayurveda medicines give natural care for your problem and some yoga/Panama under supervision of Ayurveda Specialist. Take care"
What is the abbreviation for burn injury?,"The abbreviation for burn injury is LR, which stands for ""lactated Ringer's solution."" LR is a type of intravenous fluid that is commonly used to treat burn patients in the acute phase of injury. It helps to replace fluids and electrolytes that are lost due to burns and can also help to maintain blood pressure and prevent shock. In addition to LR, burn patients may receive other types of intravenous fluids, such as albumin or saline, depending on their individual needs and the severity of their injuries. Other treatments, such as pain management, wound care, and physical therapy, may also be prescribed to help patients recover from burn injuries and regain their health and mobility."
What is the radiologic and histologic pattern that may be associated with idiopathic pulmonary fibrosis?,The radiologic and histologic pattern of idiopathic pulmonary fibrosis may be referred to as usual interstitial pneumonia (UIP).
"I woke up this morning with quite a severe pain that began in my neck and went up to my jaw, the ear also to my head.  Is this a sign of an oncoming stroke?  I did not have any other symptoms such as clamminess, pain or heaviness in my chest of in my left/right arms but the pain would subside slightly and then begin again .  This went on for about 10minutes before stopping completely.Thank you for your advice.","Hi, Thank you for posting your query. These symptoms are unlikely to be due to stroke, and most likely occurred due to a throat problem. Common symptoms of stroke include difficulty speaking, asymmetry of face, severe headache, weakness or imbalance of one side, etc. In addition, you should get an ECG done to make sure it was not an angina equivalent due to heart problem. Best wishes, Chat Doctor."
hi i have had an IUD for almost a year now. I got the IUD after i had my daughter. I always got my period regularly same time every month and very consistent. I am a few weeks late. I have been more sensitive to smells and my appetite has increased and it reminds me a lot on my first pregnancy the symptoms that first came. I have been a bit under the weather lately but its not a cold or the flew not sure what it is ( i am not getting sick though). by body temperature randomly rises and falls really quick it feels like i can be cold on minute and unbearably warm the next. I Had a complication in my last pregnancy i had hydronephrosis? I am not sure how to spell that but my kidneys were not funtioning the way they were suppossed to. I am wondering if it is possible for me to pregnant on my IUD or it i could be my kidneys again a little.,"Hello, thank you for using Chat Doctor, since you having IUD, chances of pregnancy are rare. Still if you are worried take urine pregnancy test or more confirmatory test like beta Chat Doctor level in blood or ultrasound. If you pregnant and want to continue then please remove IUD asap and be under supervision of gynecologist.it seems like your symptoms are not because of pregnancy. Consult physician for diagnosis and check for your kidney problem.take care."
"hello, i am having some problems and was hoping i could get an answer. i just found out i am 7 weeks pregnant. i have had 2 babies before but am having very different symptoms, motion sickness sitting still, swelling ankles, and sharp pains in my tummy every time i bend at the waist","Hello dear, I understand your concern. In my opinion the symptoms of pregnancy like nausea, vomiting,increased urination, sore breast start around 6 weeks of pregnancy and continue till 12 weeks, but it might persist for more or less weeks in a few pregnant women. The pain in abdomen on bending might be due to muscular pain. Take paradox if the pain is severe and take rest. Avoid physical strain and intercourse. If still persists consider getting an ultrasound done to know the well-being of pregnancy. Nothing to worry. Best regards..."
My right side of the head getting pain.just near to right eye and back side of the head And some times my front head upper to eye getting pain.my teeths getting collapse time to Time and maximum my left right thooth getting pain.I scanned Plain CT scan of Brain & PNS. Repot is problem in PNS 1.Soft tissue attenuated lesion s/o mucosal thickening seen at the right Maxillary antrum. 2.Mild Hypertrophy of right inferior turbulent seen. 3.Mild deviation of the nasal septum towards left side seen.Kindly give the solution for this problem. .,"Hi, Welcome to Chat Doctor .com I am Chat Doctor. Mariano Into Bruno Mascaras. I have gone through your query with diligence and would like you to know that I am here to help you. Solution is to Undergo Displease consult an ENT Surgeon at the earliest Hope you found the answer helpful. If you need any clarification / have doubts / have additional questions / have follow-up questions, then please do not hesitate in asking again. I will be happy to answer your questions. In the future, for continuity of care, I encourage you to contact me directly in Chat Doctor at http"
my father has been scratched by a dog teeth in the leg .It was an outside dog so whether my father should take injection or not and what might be the cost of the injection if he takes,"Dear User, 1. Since the dog was aggressive we must assume it had rabies. 2. Even a bite by an animal which is not aggressive, like a cat can cause rabies. 3. I recommend \""January Diagnostics\"" company (5 ml injection) costing 1,780 Rs. It is a good company. It has a Dacha Japan collaboration. 4. Immediately take the course of injections. Do it right now. Thanks for asking, Chat Doctor. www.bit.ly/ask Chat Doctor."
